model,model_title,method,rtol,atol,ref_method,ref_rtol,ref_atol,T,fps,runtime_s,runtime_ref_s,e_max,e_rms
pendulum,Pendulum,RK45,0.01,1e-10,DOP853,1e-12,1e-14,10.0,200,0.005262599999696249,0.06482939999841619,0.3474117843327629,0.14941215812703526
pendulum,Pendulum,RK45,0.0001,1e-10,DOP853,1e-12,1e-14,10.0,200,0.013655999999173218,0.06482939999841619,0.0014174307172024182,0.0005860672165854423
pendulum,Pendulum,RK45,1e-06,1e-10,DOP853,1e-12,1e-14,10.0,200,0.034038500001770444,0.06482939999841619,9.051310188747718e-06,3.672513216811352e-06
pendulum,Pendulum,RK45,1e-08,1e-10,DOP853,1e-12,1e-14,10.0,200,0.06984830000146758,0.06482939999841619,7.971124144536122e-08,3.2776048968938085e-08
pendulum,Pendulum,DOP853,0.01,1e-10,DOP853,1e-12,1e-14,10.0,200,0.006751600001734914,0.06482939999841619,0.05883007525807185,0.012280998314245678
pendulum,Pendulum,DOP853,0.0001,1e-10,DOP853,1e-12,1e-14,10.0,200,0.010024900002463255,0.06482939999841619,0.0006003738676666241,0.00019740352774022223
pendulum,Pendulum,DOP853,1e-06,1e-10,DOP853,1e-12,1e-14,10.0,200,0.01484119999804534,0.06482939999841619,8.6720147470487e-06,1.8211671024989034e-06
pendulum,Pendulum,DOP853,1e-08,1e-10,DOP853,1e-12,1e-14,10.0,200,0.022851099998661084,0.06482939999841619,3.332552976537618e-08,1.0315547480473054e-08
pendulum,Pendulum,Radau,0.01,1e-10,DOP853,1e-12,1e-14,10.0,200,0.0236070999999356,0.06482939999841619,0.010986297879243429,0.004341888663921686
pendulum,Pendulum,Radau,0.0001,1e-10,DOP853,1e-12,1e-14,10.0,200,0.047568099998898106,0.06482939999841619,6.306471700808697e-05,2.119701662522149e-05
pendulum,Pendulum,Radau,1e-06,1e-10,DOP853,1e-12,1e-14,10.0,200,0.14481270000032964,0.06482939999841619,3.7788937240754853e-07,1.3689075958461018e-07
pendulum,Pendulum,Radau,1e-08,1e-10,DOP853,1e-12,1e-14,10.0,200,0.3983797000000777,0.06482939999841619,3.568056197231823e-09,1.26566705696489e-09
vdp,Van der Pol,RK45,0.01,1e-10,DOP853,1e-12,1e-14,10.0,200,0.0037878000002820045,0.045105399996828055,0.30886008098060086,0.11409723311624757
vdp,Van der Pol,RK45,0.0001,1e-10,DOP853,1e-12,1e-14,10.0,200,0.007740900000499096,0.045105399996828055,0.0014234313114733046,0.0003872622678353914
vdp,Van der Pol,RK45,1e-06,1e-10,DOP853,1e-12,1e-14,10.0,200,0.016685900001903065,0.045105399996828055,4.4502945666664095e-06,1.3678487462129835e-06
vdp,Van der Pol,RK45,1e-08,1e-10,DOP853,1e-12,1e-14,10.0,200,0.02946940000038012,0.045105399996828055,5.385592008966545e-08,1.292539163797396e-08
vdp,Van der Pol,DOP853,0.01,1e-10,DOP853,1e-12,1e-14,10.0,200,0.00488490000134334,0.045105399996828055,0.22971190786414292,0.051655949633480094
vdp,Van der Pol,DOP853,0.0001,1e-10,DOP853,1e-12,1e-14,10.0,200,0.007706200001848629,0.045105399996828055,0.001976106487977305,0.00027495277960904585
vdp,Van der Pol,DOP853,1e-06,1e-10,DOP853,1e-12,1e-14,10.0,200,0.010266600002069026,0.045105399996828055,6.472710296168824e-05,6.600427951009934e-06
vdp,Van der Pol,DOP853,1e-08,1e-10,DOP853,1e-12,1e-14,10.0,200,0.019241699999838602,0.045105399996828055,2.3191915561565373e-08,3.5488714988084335e-09
vdp,Van der Pol,Radau,0.01,1e-10,DOP853,1e-12,1e-14,10.0,200,0.023369099999399623,0.045105399996828055,0.004490039048957042,0.0021248748585153735
vdp,Van der Pol,Radau,0.0001,1e-10,DOP853,1e-12,1e-14,10.0,200,0.04132490000120015,0.045105399996828055,3.52420154365986e-05,1.0774011226556704e-05
vdp,Van der Pol,Radau,1e-06,1e-10,DOP853,1e-12,1e-14,10.0,200,0.11028729999816278,0.045105399996828055,3.4343793922992323e-07,1.0028605878742184e-07
vdp,Van der Pol,Radau,1e-08,1e-10,DOP853,1e-12,1e-14,10.0,200,0.26053440000032424,0.045105399996828055,3.720787099977351e-09,1.0566019464878685e-09
dc_motor,DC motor,RK45,0.01,1e-10,DOP853,1e-12,1e-14,2.0,500,0.0014354999984789174,0.0073618999995233025,0.04032436367888953,0.02600724491686486
dc_motor,DC motor,RK45,0.0001,1e-10,DOP853,1e-12,1e-14,2.0,500,0.0014628999997512437,0.0073618999995233025,0.0011304973957672955,0.0004244123622340101
dc_motor,DC motor,RK45,1e-06,1e-10,DOP853,1e-12,1e-14,2.0,500,0.004212899999401998,0.0073618999995233025,8.977455082660467e-06,4.065233640328217e-06
dc_motor,DC motor,RK45,1e-08,1e-10,DOP853,1e-12,1e-14,2.0,500,0.005434100003185449,0.0073618999995233025,8.095090758330559e-08,3.748075233484668e-08
dc_motor,DC motor,DOP853,0.01,1e-10,DOP853,1e-12,1e-14,2.0,500,0.0021243000010144897,0.0073618999995233025,0.0014702835832254896,0.0005027186049434769
dc_motor,DC motor,DOP853,0.0001,1e-10,DOP853,1e-12,1e-14,2.0,500,0.0021777000001748092,0.0073618999995233025,0.0008335946992135652,0.00029652097589038997
dc_motor,DC motor,DOP853,1e-06,1e-10,DOP853,1e-12,1e-14,2.0,500,0.00258630000098492,0.0073618999995233025,1.6960528814786774e-05,6.013562927818184e-06
dc_motor,DC motor,DOP853,1e-08,1e-10,DOP853,1e-12,1e-14,2.0,500,0.002882500000850996,0.0073618999995233025,5.290937779075958e-07,1.667172171906316e-07
dc_motor,DC motor,Radau,0.01,1e-10,DOP853,1e-12,1e-14,2.0,500,0.00622780000048806,0.0073618999995233025,0.01926092538923007,0.007585621368411299
dc_motor,DC motor,Radau,0.0001,1e-10,DOP853,1e-12,1e-14,2.0,500,0.007949499999085674,0.0073618999995233025,0.00026108543066651296,9.539173698795723e-05
dc_motor,DC motor,Radau,1e-06,1e-10,DOP853,1e-12,1e-14,2.0,500,0.020246600000973558,0.0073618999995233025,3.201173710551842e-06,9.837594459038167e-07
dc_motor,DC motor,Radau,1e-08,1e-10,DOP853,1e-12,1e-14,2.0,500,0.05936880000081146,0.0073618999995233025,3.010862791283546e-08,9.215532455401101e-09
inverted,Inverted pendulum (open-loop),RK45,0.01,1e-10,DOP853,1e-12,1e-14,10.0,200,0.031918600001517916,0.48463990000163903,31.933584792536795,15.71008837505715
inverted,Inverted pendulum (open-loop),RK45,0.0001,1e-10,DOP853,1e-12,1e-14,10.0,200,0.053539299999101786,0.48463990000163903,0.5507669942891201,0.1265452505161682
inverted,Inverted pendulum (open-loop),RK45,1e-06,1e-10,DOP853,1e-12,1e-14,10.0,200,0.1090704000016558,0.48463990000163903,0.002850521193284002,0.0006926003470254293
inverted,Inverted pendulum (open-loop),RK45,1e-08,1e-10,DOP853,1e-12,1e-14,10.0,200,0.2630274000002828,0.48463990000163903,2.1528582835535786e-05,5.285451767025036e-06
inverted,Inverted pendulum (open-loop),DOP853,0.01,1e-10,DOP853,1e-12,1e-14,10.0,200,0.041410800000448944,0.48463990000163903,8.348815669083258,2.6134370774808793
inverted,Inverted pendulum (open-loop),DOP853,0.0001,1e-10,DOP853,1e-12,1e-14,10.0,200,0.06169219999719644,0.48463990000163903,0.10784999954226032,0.023961193574963718
inverted,Inverted pendulum (open-loop),DOP853,1e-06,1e-10,DOP853,1e-12,1e-14,10.0,200,0.09233060000042315,0.48463990000163903,0.0044225604422627645,0.0011049814388932246
inverted,Inverted pendulum (open-loop),DOP853,1e-08,1e-10,DOP853,1e-12,1e-14,10.0,200,0.17733489999955054,0.48463990000163903,6.002983069259598e-05,1.3977413621789309e-05
inverted,Inverted pendulum (open-loop),Radau,0.01,1e-10,DOP853,1e-12,1e-14,10.0,200,0.16028910000022734,0.48463990000163903,2.210857661604768,0.6089505659145635
inverted,Inverted pendulum (open-loop),Radau,0.0001,1e-10,DOP853,1e-12,1e-14,10.0,200,0.3810788999981014,0.48463990000163903,0.017734159742652206,0.0047747961005829755
inverted,Inverted pendulum (open-loop),Radau,1e-06,1e-10,DOP853,1e-12,1e-14,10.0,200,0.7187035999995715,0.48463990000163903,6.992665651884197e-05,1.6738865775568975e-05
inverted,Inverted pendulum (open-loop),Radau,1e-08,1e-10,DOP853,1e-12,1e-14,10.0,200,1.8715785999993386,0.48463990000163903,2.343708419183639e-07,5.5374300939066716e-08
double_pendulum,Double pendulum,RK45,0.01,1e-10,DOP853,1e-12,1e-14,10.0,200,0.012024200001178542,0.35256630000003497,1.2691890477225676,0.5072021013643024
double_pendulum,Double pendulum,RK45,0.0001,1e-10,DOP853,1e-12,1e-14,10.0,200,0.029934800000773976,0.35256630000003497,0.0026659721788149003,0.001155905403778512
double_pendulum,Double pendulum,RK45,1e-06,1e-10,DOP853,1e-12,1e-14,10.0,200,0.05706280000231345,0.35256630000003497,1.9378443972714376e-05,8.790845120296605e-06
double_pendulum,Double pendulum,RK45,1e-08,1e-10,DOP853,1e-12,1e-14,10.0,200,0.12731540000095265,0.35256630000003497,1.366350228154065e-07,6.171018591856101e-08
double_pendulum,Double pendulum,DOP853,0.01,1e-10,DOP853,1e-12,1e-14,10.0,200,0.01839790000303765,0.35256630000003497,0.07893598812926357,0.017898325594365206
double_pendulum,Double pendulum,DOP853,0.0001,1e-10,DOP853,1e-12,1e-14,10.0,200,0.029275000000779983,0.35256630000003497,0.0012220548184592851,0.0002134106182561151
double_pendulum,Double pendulum,DOP853,1e-06,1e-10,DOP853,1e-12,1e-14,10.0,200,0.059648499998729676,0.35256630000003497,2.3021273247930862e-05,2.586707722587243e-06
double_pendulum,Double pendulum,DOP853,1e-08,1e-10,DOP853,1e-12,1e-14,10.0,200,0.09618540000155917,0.35256630000003497,5.538806072219676e-07,4.2069691088936073e-08
double_pendulum,Double pendulum,Radau,0.01,1e-10,DOP853,1e-12,1e-14,10.0,200,0.057804800002486445,0.35256630000003497,0.018957159434007876,0.005370082762251605
double_pendulum,Double pendulum,Radau,0.0001,1e-10,DOP853,1e-12,1e-14,10.0,200,0.14476970000032452,0.35256630000003497,9.109770899980553e-05,1.6823764975867063e-05
double_pendulum,Double pendulum,Radau,1e-06,1e-10,DOP853,1e-12,1e-14,10.0,200,0.41056010000102106,0.35256630000003497,7.625085324602999e-07,1.420093361015244e-07
double_pendulum,Double pendulum,Radau,1e-08,1e-10,DOP853,1e-12,1e-14,10.0,200,1.0126822000020184,0.35256630000003497,7.78308711178963e-09,1.4220026273180933e-09
lorenz,Lorenz,RK45,0.01,1e-10,DOP853,1e-12,1e-14,5.0,400,0.004105799998797011,0.13517399999909685,3.6861080704279092,2.3958689243649
lorenz,Lorenz,RK45,0.0001,1e-10,DOP853,1e-12,1e-14,5.0,400,0.010931699998764088,0.13517399999909685,0.026834211011538545,0.01258064185893904
lorenz,Lorenz,RK45,1e-06,1e-10,DOP853,1e-12,1e-14,5.0,400,0.020918199999869103,0.13517399999909685,0.0003062000236082257,0.00013790326097853626
lorenz,Lorenz,RK45,1e-08,1e-10,DOP853,1e-12,1e-14,5.0,400,0.049566699999559205,0.13517399999909685,2.792895904304564e-06,1.256385682660389e-06
lorenz,Lorenz,DOP853,0.01,1e-10,DOP853,1e-12,1e-14,5.0,400,0.005495500001416076,0.13517399999909685,0.9134280019182127,0.32176095280157313
lorenz,Lorenz,DOP853,0.0001,1e-10,DOP853,1e-12,1e-14,5.0,400,0.010174600000027567,0.13517399999909685,0.016825962568910825,0.009547425013371625
lorenz,Lorenz,DOP853,1e-06,1e-10,DOP853,1e-12,1e-14,5.0,400,0.01708429999780492,0.13517399999909685,0.0002355814480185626,2.973913992452633e-05
lorenz,Lorenz,DOP853,1e-08,1e-10,DOP853,1e-12,1e-14,5.0,400,0.029265199998917524,0.13517399999909685,1.0497508953176231e-06,1.6475996204290761e-07
lorenz,Lorenz,Radau,0.01,1e-10,DOP853,1e-12,1e-14,5.0,400,0.02366960000290419,0.13517399999909685,0.2784439237529151,0.15331671000614927
lorenz,Lorenz,Radau,0.0001,1e-10,DOP853,1e-12,1e-14,5.0,400,0.05036389999804669,0.13517399999909685,0.001296943350393024,0.0004128068069339958
lorenz,Lorenz,Radau,1e-06,1e-10,DOP853,1e-12,1e-14,5.0,400,0.12622950000150013,0.13517399999909685,6.956433600399062e-06,2.041052101386614e-06
lorenz,Lorenz,Radau,1e-08,1e-10,DOP853,1e-12,1e-14,5.0,400,0.383096999998088,0.13517399999909685,7.468369306689618e-08,1.8375873890631355e-08
