t,theta,theta_dot
0.0,0.1,0.0
0.005,0.099987758176252,-0.0048966299326229
0.01,0.0999510356930794,-0.0097920650237582
0.015,0.0998898415592056,-0.0146851123165881
0.02,0.099804190704225,-0.0195745768295965
0.025,0.0996941039861834,-0.0244592638280086
0.03,0.0995596082290443,-0.0293379806983535
0.035,0.0994007362226887,-0.0342095369484634
0.04,0.0992175267229156,-0.039072744207474
0.045,0.0990100244514413,-0.0439264162258248
0.05,0.0987782800958999,-0.0487693688752583
0.055,0.0985223503098433,-0.0536004201488209
0.06,0.0982422975603205,-0.0584183928466644
0.065,0.0979381901263919,-0.0632221114109613
0.07,0.0976101022977015,-0.0680103994290074
0.075,0.0972581141546136,-0.0727820855918548
0.08,0.0968823115662691,-0.0775360037379706
0.085,0.0964827861905854,-0.0822709928532365
0.09,0.0960596354742567,-0.0869858970709492
0.095,0.0956129626527534,-0.0916795656718201
0.1,0.0951428767503227,-0.0963508530839754
0.105,0.0946494925799883,-0.100998618882956
0.11,0.0941329307435506,-0.1056217277917178
0.115,0.0935933176220246,-0.1102190497537014
0.12,0.0930307845471807,-0.1147894653048866
0.125,0.0924454688206432,-0.1193318557582972
0.13,0.0918375137011253,-0.1238451058717087
0.135,0.0912070678115881,-0.1283281089934092
0.14,0.0905542851392398,-0.1327797670621995
0.145,0.0898793250355361,-0.137198990607393
0.15,0.0891823522161802,-0.1415846987488158
0.155,0.088463536761123,-0.1459358191968065
0.16,0.0877230541145625,-0.1502512882522164
0.165,0.0869610850849444,-0.1545300508064095
0.17,0.0861778158449618,-0.1587710603412623
0.175,0.0853734379315554,-0.162973278929164
0.18,0.0845481482459132,-0.1671356772330164
0.185,0.0837021482389683,-0.1712572377799383
0.19,0.0828356436667023,-0.1753369537577816
0.195,0.0819488470977133,-0.1793738194958205
0.2,0.0810419758332498,-0.1833668410170219
0.205,0.080115251820337,-0.1873150364312916
0.21,0.0791689016517763,-0.1912174359354743
0.215,0.0782031565661456,-0.1950730818133534
0.22,0.0772182524477994,-0.1988810284356514
0.225,0.0762144298268686,-0.2026403422600293
0.23,0.0751919338792605,-0.2063501018310873
0.235,0.074151014426659,-0.2100093977803644
0.24,0.0730919259365243,-0.2136173328263382
0.245,0.0720149275220933,-0.2171730217744254
0.25,0.0709202829423791,-0.2206755915169815
0.255,0.0698082604757146,-0.224124181364844
0.26,0.0686791302216674,-0.2275179490681317
0.265,0.0675331687183958,-0.2308560572821677
0.27,0.0663706575884395,-0.2341376796659109
0.275,0.0651918820751987,-0.2373620051480138
0.28,0.063997131042934,-0.2405282379268223
0.285,0.062786696976766,-0.243635597470376
0.29,0.061560875982676,-0.2466833185164075
0.295,0.0603199677875054,-0.2496706510723435
0.3,0.0590642757389559,-0.2525968604153036
0.305,0.0577941068055896,-0.2554612270921013
0.31,0.0565097715768289,-0.2582630469192432
0.315,0.0552115842629565,-0.2610016309829297
0.32,0.0538998626951154,-0.2636763056390545
0.325,0.0525749283253089,-0.2662864125132048
0.33,0.0512371062264008,-0.2688313085006614
0.335,0.0498867229802411,-0.2713103684161144
0.34,0.0485241077464869,-0.2737229814035645
0.345,0.0471495961357512,-0.2760685472624066
0.35,0.0457635261518491,-0.2783464834135516
0.355,0.0443662381346286,-0.2805562249846136
0.36,0.0429580747599717,-0.2826972248099096
0.365,0.0415393810397934,-0.2847689534304606
0.37,0.0401105043220427,-0.2867708990939904
0.375,0.0386717942907018,-0.2887025677549263
0.38,0.0372236029657863,-0.2905634830743989
0.385,0.0357662847033455,-0.292353186420242
0.39,0.0343001961954621,-0.2940712368669929
0.395,0.0328256964702522,-0.295717211195892
0.4,0.0313431468918657,-0.2972907038948833
0.405,0.0298529111604855,-0.2987913271586137
0.41,0.028355355174041,-0.300218710934052
0.415,0.0268508436727917,-0.301572503101111
0.42,0.0253397459906969,-0.3028523664133692
0.425,0.0238224343503734,-0.3040579815771263
0.43,0.0222992818994041,-0.3051890483245529
0.435,0.0207706627103381,-0.3062452854136916
0.44,0.0192369517806905,-0.3072264306284562
0.445,0.0176985250329428,-0.3081322407786319
0.45,0.0161557593145426,-0.3089624916998754
0.455,0.0146090323979035,-0.3097169782537147
0.46,0.0130587229804054,-0.3103955143275496
0.465,0.0115052106843945,-0.310997932834651
0.47,0.0099488760571829,-0.3115240857141614
0.475,0.0083901005710491,-0.3119738439310947
0.48,0.0068292666232375,-0.3123470974763361
0.485,0.0052667574267562,-0.3126437552919364
0.49,0.0037029545702758,-0.3128637427809412
0.495,0.0021382422208144,-0.3130070038185354
0.5,0.0005730055590497,-0.3130735020629346
0.505,-0.0009923706664017,-0.3130632203477461
0.51,-0.0025575021389845,-0.3129761606819684
0.515,-0.0041220049742038,-0.3128123442499912
0.52,-0.0056854957196263,-0.3125718114115956
0.525,-0.0072475913548794,-0.312254621701954
0.53,-0.0088079092916515,-0.31186085383163
0.535,-0.0103660673736921,-0.3113906056865785
0.54,-0.0119216838768117,-0.3108439943281458
0.545,-0.0134743775088819,-0.3102211559930695
0.55,-0.0150237674098351,-0.3095222460934784
0.555,-0.0165694738410057,-0.3087474381354833
0.56,-0.0181111184693538,-0.3078969220129086
0.5650000000000001,-0.0196483219843419,-0.3069709084063131
0.5700000000000001,-0.0211807065766497,-0.3059696265985617
0.5750000000000001,-0.0227078960756522,-0.3048933243049929
0.58,-0.0242295159494194,-0.3037422676734184
0.585,-0.025745193304717,-0.3025167412841232
0.59,-0.0272545568870055,-0.301217048149866
0.595,-0.028757237080441,-0.2998435097158784
0.6,-0.0302528659078744,-0.2983964658598657
0.605,-0.0317410770308524,-0.2968762748920065
0.61,-0.0332215057496166,-0.2952833135549526
0.615,-0.0346937893053157,-0.2936179765841507
0.62,-0.0361575685024854,-0.2918806735765616
0.625,-0.0376124833582291,-0.2900718347525257
0.63,-0.039058175926301,-0.2881919082351675
0.635,-0.040494291067904,-0.2862413590723865
0.64,-0.0419204764516889,-0.2842206692368575
0.645,-0.0433363825537554,-0.2821303376260299
0.65,-0.0447416626576513,-0.2799708800621284
0.655,-0.0461359728543726,-0.2777428292921525
0.66,-0.0475189720423641,-0.2754467349878768
0.665,-0.0488903219275186,-0.2730831637458509
0.67,-0.0502496870231774,-0.2706526990873995
0.675,-0.0515967346501303,-0.2681559414586221
0.68,-0.0529311349366154,-0.2655935082303935
0.685,-0.0542525617513155,-0.2629660312346307
0.6900000000000001,-0.0555606928371504,-0.2602741545542923
0.6950000000000001,-0.0568552060749184,-0.2575185445940411
0.7000000000000001,-0.0581357830756041,-0.2546998826894127
0.705,-0.0594021093923574,-0.2518188646109176
0.71,-0.0606538745204939,-0.2488762005640403
0.715,-0.0618907718974945,-0.2458726151892401
0.72,-0.063112498903006,-0.2428088475619508
0.725,-0.0643187568588404,-0.2396856511925804
0.73,-0.0655092510289754,-0.2365037940265117
0.735,-0.0666836906195541,-0.2332640584441017
0.74,-0.0678417887788853,-0.229967241260682
0.745,-0.0689832625974432,-0.2266141537265586
0.75,-0.0701078331078677,-0.2232056215270121
0.755,-0.071215225284964,-0.2197424847822975
0.76,-0.0723051693857362,-0.2162255919432953
0.765,-0.073377399284539,-0.2126558035340763
0.77,-0.0744316509090007,-0.2090340013149857
0.775,-0.0754676650877155,-0.2053610781588877
0.78,-0.0764851875709669,-0.2016379379686907
0.785,-0.0774839690307272,-0.1978654956773476
0.79,-0.0784637650606578,-0.1940446772478556
0.795,-0.0794243361761091,-0.1901764196732563
0.8,-0.0803654478141204,-0.1862616709766357
0.805,-0.0812868703334204,-0.182301390211124
0.81,-0.0821883790144264,-0.1782965474598961
0.8150000000000001,-0.0830697540592449,-0.174248123836171
0.8200000000000001,-0.0839307805916715,-0.1701571114832123
0.8250000000000001,-0.0847712486571908,-0.1660245135743277
0.8300000000000001,-0.0855909532229761,-0.1618513443128695
0.835,-0.086389694310003,-0.1576386278170274
0.84,-0.0871672778184447,-0.1533873876405415
0.845,-0.0879235127102,-0.1490986676592253
0.85,-0.088658212959746,-0.1447735230212172
0.855,-0.0893711981688799,-0.1404130158526004
0.86,-0.0900622935667189,-0.1360182152574036
0.865,-0.0907313300097005,-0.131590197317601
0.87,-0.0913781439815822,-0.1271300450931117
0.875,-0.0920025775934416,-0.1226388486218004
0.88,-0.0926044785836765,-0.1181177049194769
0.885,-0.0931837003180047,-0.1135677179798964
0.89,-0.0937401017894643,-0.1089899987747595
0.895,-0.0942735476184134,-0.1043856652537117
0.9,-0.0947839080525301,-0.0997558423443443
0.905,-0.0952710589668129,-0.0951016619521935
0.91,-0.0957348818635802,-0.090424262960741
0.915,-0.0961752637085776,-0.0857247880594556
0.92,-0.0965920963371234,-0.0810043814829767
0.925,-0.0969852773629165,-0.0762642003840516
0.93,-0.0973547103661829,-0.0715054054699319
0.935,-0.0977003048828105,-0.0667291604667316
0.94,-0.0980219764043483,-0.0619366321194275
0.945,-0.098319646378007,-0.0571289901918589
0.95,-0.098593242206659,-0.0523074074667282
0.955,-0.0988426972488379,-0.0474730597456002
0.96,-0.0990679508187392,-0.0426271258489024
0.965,-0.0992689481862195,-0.037770787615925
0.97,-0.0994456405767972,-0.032905229904821
0.975,-0.0995979851716522,-0.028031640592606
0.98,-0.0997259449484774,-0.0231512089945392
0.985,-0.0998294882593246,-0.0182651246610795
0.99,-0.0999085896132056,-0.0133745829320233
0.995,-0.0999632295597763,-0.0084807791340608
1.0,-0.0999933946666326,-0.0035849082228167
1.005,-0.0999990775193101,0.0013118352171487
1.01,-0.0999802767212846,0.0062082569723401
1.015,-0.0999369968939716,0.0111031632003276
1.02,-0.0998692486767269,0.0159953604297452
1.025,-0.0997770487268459,0.0208836555602928
1.03,-0.0996604197195642,0.0257668558627348
1.035,-0.0995193902577501,0.030643769881891
1.04,-0.0993539945295143,0.0355132088368771
1.045,-0.0991642728524532,0.0403739816493967
1.05,-0.0989502714927273,0.045224900135228
1.055,-0.0987120426274708,0.0500647795464892
1.06,-0.0984496443447917,0.0548924385716406
1.065,-0.0981631406437719,0.0597066993354827
1.07,-0.0978526014344668,0.0645063873991577
1.075,-0.097518102537906,0.0692903317601483
1.08,-0.0971597256860926,0.0740573648522789
1.085,-0.0967775585220036,0.0788063225457141
1.09,-0.0963716942273709,0.0835360478769232
1.095,-0.0959422317392216,0.0882453858605392
1.1,-0.095489276072287,0.0929331819098015
1.105,-0.0950129378689305,0.097598288139511
1.11,-0.094513333398607,0.1022395633725629
1.115,-0.0939905845578628,0.1068558731399449
1.12,-0.0934448188703354,0.1114460896807392
1.125,-0.092876169486754,0.1160090919421202
1.13,-0.0922847751849388,0.1205437655793566
1.135,-0.0916707803698015,0.1250490029558097
1.14,-0.0910343350733451,0.1295237031429351
1.145,-0.0903755949546642,0.1339667719202807
1.15,-0.0896947211485637,0.1383771226181011
1.155,-0.0889918790929739,0.1427536812254499
1.16,-0.0882672407681644,0.147095372801414
1.165,-0.0875209836357704,0.151401130045665
1.17,-0.0867532902283442,0.1556698958761173
1.175,-0.0859643481493553,0.1599006234289281
1.18,-0.0851543500731904,0.1640922760584968
1.185,-0.0843234937451533,0.168243827337466
1.19,-0.0834719819814649,0.1723542610567204
1.195,-0.0826000226692633,0.1764225712253878
1.2,-0.0817078287666037,0.1804477620708381
1.205,-0.0807956183024584,0.1844288480386843
1.21,-0.0798636143767171,0.1883648537927815
1.215,-0.0789120451601863,0.1922548142152282
1.22,-0.0779411435249457,0.196097775640861
1.225,-0.076951145202128,0.1998928005303012
1.23,-0.075942292955376,0.2036389527511694
1.235,-0.0749148343451014,0.2073353076059604
1.24,-0.0738690211415945,0.2109809540167236
1.245,-0.0728051093250243,0.2145749945250648
1.25,-0.0717233590854385,0.2181165452921441
1.255,-0.0706240348227632,0.2216047360986779
1.26,-0.0695074051468033,0.2250387103449371
1.265,-0.0683737428772422,0.2284176250507488
1.27,-0.0672233250436421,0.2317406508554949
1.275,-0.0660564328854434,0.2350069720181132
1.28,-0.0648733518519656,0.2382157864170962
1.285,-0.0636743716024066,0.2413663055504923
1.29,-0.0624597860058428,0.2444577545359054
1.295,-0.0612298925162713,0.2474893733377416
1.3,-0.0599849897676707,0.2504604199899797
1.305,-0.0587253836579057,0.2533701580900901
1.31,-0.0574513838763206,0.2562178661117039
1.315,-0.0561633031664456,0.2590028390425117
1.32,-0.0548614573259963,0.2617243883842642
1.325,-0.0535461652068737,0.2643818421527715
1.33,-0.0522177487151643,0.2669745448779039
1.335,-0.0508765328111405,0.2695018576035911
1.34,-0.0495228455092597,0.2719631578878228
1.345,-0.0481570178781652,0.2743578398026483
1.35,-0.0467793840406855,0.276685313934177
1.355,-0.0453902811738349,0.2789450073825775
1.36,-0.0439900495088129,0.2811363637620789
1.365,-0.042579032331005,0.2832588432009694
1.37,-0.0411575759799816,0.2853119223415974
1.375,-0.0397260275290586,0.2872950960724649
1.38,-0.038284736339518,0.2892078741245883
1.385,-0.0368340575594485,0.2910497798498191
1.39,-0.0353743480623218,0.2928203550323681
1.395,-0.0339059664112682,0.2945191599235099
1.4,-0.0324292728590762,0.2961457732415836
1.405,-0.0309446293481932,0.297699792171992
1.41,-0.0294523995107252,0.2991808323672021
1.415,-0.0279529486684364,0.3005885279467453
1.42,-0.0264466438327499,0.3019225314972165
1.425,-0.0249338537047472,0.303182514072275
1.43,-0.0234149486751684,0.3043681651926442
1.435,-0.021890300824412,0.3054791928461117
1.44,-0.0203602839225354,0.3065153234875287
1.445,-0.0188252734292542,0.307476302038811
1.45,-0.0172856461503857,0.3083618916323957
1.455,-0.0157417782408684,0.3091718711364484
1.46,-0.0141940492372758,0.3099060382203226
1.465,-0.0126428397148485,0.310564209997588
1.47,-0.011088530630221,0.3111462227372039
1.475,-0.0095315033214215,0.3116519318635195
1.48,-0.0079721395078718,0.3120812119562732
1.485,-0.0064108212903875,0.3124339567505933
1.49,-0.0048479311511781,0.3127100791369977
1.495,-0.0032838519538466,0.3129095111613938
1.5,-0.0017189669433899,0.3130322040250787
1.505,-0.0001536597461984,0.3130781280847391
1.51,0.0014116856299431,0.3130472728524514
1.515,0.0029766858418578,0.3129396462989091
1.52,0.0045409576181009,0.3127552740713412
1.525,0.0061041159509739,0.3124942014115978
1.53,0.0076657766114883,0.312156492592244
1.535,0.0092255561944818,0.3117422308971556
1.54,0.0107830721186171,0.3112515186215197
1.545,0.0123379426263823,0.3106844770718341
1.55,0.0138897867840915,0.3100412465659079
1.555,0.0154382244818837,0.3093219864328611
1.56,0.0169828764337237,0.3085268750131248
1.565,0.0185233641774017,0.307656109658441
1.57,0.0200593100745334,0.3067099067318628
1.575,0.0215903374120544,0.3056885014867569
1.58,0.0231160720844774,0.3045921454500634
1.585,0.0246361392237512,0.3034211097336078
1.59,0.0261501649056585,0.302175684533653
1.595,0.0276577772116821,0.3008561781043963
1.6,0.0291586062290056,0.2994629167579682
1.605,0.0306522840505124,0.2979962448644336
1.61,0.0321384447747867,0.2964565248517906
1.615,0.0336167245061127,0.2948441372059717
1.62,0.0350867613544753,0.2931594804708427
1.625,0.0365481954355596,0.2914029712482037
1.63,0.0380006688707509,0.2895750441977883
1.635,0.039443825787135,0.287676152037264
1.64,0.0408773127249423,0.2857067648171754
1.645,0.0423007801320345,0.2836673662788737
1.65,0.0437138778259665,0.2815584614045434
1.655,0.0451162581446587,0.2793805724464707
1.66,0.0465075766025759,0.2771342378989938
1.665,0.0478874918907272,0.2748200124985041
1.67,0.0492556658766663,0.2724384672234455
1.675,0.0506117636044909,0.2699901892943142
1.68,0.0519554532948433,0.2674757821736596
1.685,0.0532864063449103,0.2648958655660832
1.69,0.0546042973284227,0.2622510754182396
1.695,0.055908803995656,0.2595420639188357
1.7,0.0571996072734298,0.2567694994986314
1.705,0.0584763912651084,0.2539340668304388
1.71,0.0597388435378121,0.2510364659755513
1.715,0.0609866569492745,0.2480774055747502
1.72,0.062219524758528,0.2450576162772103
1.725,0.0634371435656692,0.2419778446577953
1.73,0.0646392142461416,0.238838850737802
1.735,0.0658254419507348,0.2356414079849583
1.74,0.0669955361055852,0.2323863033134247
1.745,0.0681492104121757,0.2290743370837933
1.75,0.0692861828473355,0.2257063231030887
1.755,0.0704061756632407,0.2222830886247667
1.76,0.0715089153874135,0.2188054743487161
1.765,0.072594132822723,0.2152743344212569
1.77,0.0736615630473845,0.2116905364351416
1.775,0.0747109454149601,0.2080549614295543
1.78,0.0757420235543582,0.2043685038901117
1.785,0.0767545455169186,0.2006320710090631
1.79,0.077748265348231,0.196846572776079
1.795,0.0787229390364959,0.1930129401904204
1.8,0.0796783267242157,0.1891321185777443
1.805,0.0806141937339829,0.1852050630600735
1.81,0.0815303105684799,0.1812327385557952
1.815,0.0824264529104787,0.177216119779663
1.82,0.0833024016228417,0.1731561912427947
1.825,0.0841579427485207,0.1690539472526742
1.83,0.0849928675105577,0.1649103919131501
1.835,0.0858069723120844,0.1607265391244368
1.84,0.0866000587363226,0.1565034125831135
1.845,0.0873719335465839,0.1522420457821253
1.85,0.0881224086862697,0.1479434820107817
1.855,0.0888513012788713,0.1436087743547586
1.86,0.0895584336279701,0.139238985696096
1.865,0.0902436334883414,0.1348351851840979
1.87,0.0909067339007821,0.1303984428204887
1.875,0.0915475716976495,0.1259298492841006
1.88,0.092165989348004,0.1214305022897067
1.885,0.0927618351004649,0.1169015051828235
1.89,0.0933349629832109,0.112343966939709
1.895,0.0938852328039797,0.1077590021673645
1.9,0.0944125101500681,0.103147731103533
1.905,0.0949166663883321,0.0985112796167006
1.91,0.0953975786651869,0.0938507792060952
1.915,0.0958551299066066,0.0891673670016878
1.92,0.0962892088181248,0.0844621857641914
1.925,0.0966997098848339,0.0797363838850614
1.93,0.0970865333713856,0.0749911153864961
1.935,0.0974495853219908,0.0702275399214357
1.94,0.0977887775474832,0.0654468226138375
1.945,0.0981040268786727,0.0606501276648835
1.95,0.0983952556738961,0.0558386273070788
1.955,0.0986623924763227,0.0510134995921986
1.96,0.0989053718308444,0.0461759243417686
1.965,0.099124134284076,0.0413270831470629
1.97,0.0993186263843552,0.0364681593691057
1.975,0.0994888006817422,0.0316003381386699
1.98,0.0996346157280204,0.0267248063562787
1.985,0.0997560360766958,0.0218427526922038
1.99,0.0998530322829972,0.0169553675864672
1.995,0.0999255809038764,0.0120638432488391
2.0,0.0999736644980078,0.0071693736588405
2.005,0.0999972714434628,0.002273151452083
2.01,0.0999963956997729,-0.002623629725912
2.015,0.0999710373022758,-0.0075197710418725
2.02,0.0999212022914456,-0.0124140753191946
2.025,0.0998469027102783,-0.0173053471188978
2.03,0.0997481566042915,-0.0221923927396254
2.035,0.0996249880215246,-0.027074020217643
2.04,0.0994774270125389,-0.0319490393268408
2.045,0.0993055096304175,-0.0368162615787323
2.05,0.099109277930765,-0.0416745002224545
2.055,0.0988887799717081,-0.0465225702447683
2.06,0.098644069813895,-0.0513592883700568
2.065,0.0983752073640942,-0.0561834742359624
2.07,0.0980822578317806,-0.0609939523782252
2.075,0.097765292728621,-0.0657895449781905
2.08,0.097424389436598,-0.0705690785576095
2.085,0.0970596311302342,-0.0753313847433845
2.09,0.0966711067765922,-0.0800753002675668
2.095,0.096258911135275,-0.0847996669673578
2.1,0.0958231447584256,-0.0895033317851071
2.105,0.0953639139907273,-0.0941851467683152
2.11,0.0948813309694033,-0.0988439690696316
2.115,0.0943755136242171,-0.1034786609468559
2.12,0.0938465856774726,-0.108088089762936
2.125,0.0932946761865891,-0.1126711311535303
2.13,0.0927199194984456,-0.1172266668891428
2.135,0.0921224563185308,-0.1217535782602416
2.14,0.09150243274934,-0.1262507548973001
2.145,0.0908600002647065,-0.1307170949769563
2.15,0.0901953157098025,-0.1351515052220118
2.155,0.0895085413011383,-0.139552900901432
2.16,0.0887998446265629,-0.1439202058303452
2.165,0.0880693986452637,-0.1482523523700443
2.17,0.0873173816877663,-0.1525482814279856
2.1750000000000003,0.0865439774559348,-0.1568069424577896
2.18,0.085749375022972,-0.1610272934592391
2.185,0.084933768833419,-0.1652083009782821
2.19,0.0840973583886409,-0.1693489414261697
2.195,0.0832403468237258,-0.1734482054987172
2.2,0.0823629441388551,-0.177505083878094
2.205,0.0814653654161086,-0.181518577294629
2.21,0.0805478303942957,-0.1854876985227183
2.215,0.0796105634689558,-0.1894114723808235
2.22,0.0786537936923579,-0.1932889357314728
2.225,0.0776777547735013,-0.1971191374812593
2.23,0.0766826850781148,-0.2009011385808433
2.235,0.0756688276286573,-0.2046340120249509
2.24,0.0746364301043173,-0.2083168428523744
2.245,0.0735857448410135,-0.2119487281459712
2.25,0.0725170288313943,-0.215528777032666
2.255,0.0714305437248378,-0.2190561106834489
2.26,0.0703265558274521,-0.2225298623133766
2.265,0.0692053340804192,-0.2259491820521163
2.27,0.0680671519288133,-0.2293132298583719
2.275,0.0669122892069254,-0.2326211726387284
2.28,0.0657410293885085,-0.235872192522435
2.285,0.06455365958286,-0.239065486872074
2.29,0.0633504705348212,-0.2422002682835629
2.295,0.0621317566247773,-0.2452757645861529
2.3000000000000003,0.060897815868658,-0.2482912188424297
2.305,0.0596489499179371,-0.2512458893483124
2.31,0.0583854640596324,-0.2541390496330546
2.315,0.0571076672163058,-0.2569699884592445
2.32,0.0558158719460635,-0.2597380098228038
2.325,0.0545103944425555,-0.2624424329529889
2.33,0.0531915545349766,-0.2650825923123895
2.335,0.051859675688065,-0.2676578375969302
2.34,0.0505150839822595,-0.2701675350952007
2.345,0.0491581062208309,-0.2726110685352728
2.35,0.0477890763408076,-0.274987830464224
2.355,0.0464083311420634,-0.2772972303145892
2.36,0.0450162097778107,-0.279538695201346
2.365,0.0436130537546006,-0.2817116699219147
2.37,0.0421992069323233,-0.2838156169561576
2.375,0.040775015524207,-0.2858500164663808
2.38,0.0393408280968192,-0.2878143662973323
2.385,0.0378969955700654,-0.2897081819762037
2.39,0.0364438712171906,-0.291530996712628
2.395,0.0349818106647779,-0.2932823613986823
2.4,0.0335111718927492,-0.2949618446088856
2.405,0.032032315234365,-0.2965690326002
2.41,0.0305456033762248,-0.2981035293120301
2.415,0.0290514013582666,-0.2995649563662232
2.42,0.0275500740804647,-0.3009529535049556
2.4250000000000003,0.0260419886151322,-0.3022671759463153
2.43,0.0245275166141313,-0.3035072956896653
2.435,0.0230070306799892,-0.3046730037480138
2.44,0.0214809043579778,-0.3057640101512097
2.445,0.0199495121361133,-0.3067800439459422
2.45,0.0184132294451561,-0.3077208531957414
2.455,0.0168724326586116,-0.3085862049809774
2.46,0.0153274990927291,-0.3093758853988612
2.465,0.0137788070065025,-0.3100896995634443
2.47,0.0122267356016699,-0.3107274716056189
2.475,0.0106716650227141,-0.3112890446731173
2.48,0.0091139763568622,-0.3117742809305128
2.485,0.0075540516340855,-0.312183061559219
2.49,0.0059922738271,-0.3125152867574901
2.495,0.0044290250470346,-0.3127708741725379
2.5,0.0028646881819952,-0.3129497584449198
2.505,0.0012996484949427,-0.3130518943379546
2.51,-0.0002657091597925,-0.3130772557991393
2.515,-0.0018310003438881,-0.313025835955766
2.52,-0.00339584103503,-0.3128976471149219
2.525,-0.0049598476269124,-0.3126927207634891
2.53,-0.0065226369292376,-0.3124111075681449
